id,createdAt,updatedAt,profileApproved,subscriptionActive,typeOfBusiness,companyType,companyNameEn,companyNameEs,contactNameEn,contactNameEs,streetAddress,city,state,zipCode,mobilePhoneNumber,officePhoneNumber,emailAddress,websiteUrl,image,rating,reviewsEn,reviewsEs,experience,languagesEn,languagesEs,educationEn,educationEs,specialtiesEn,specialtiesEs,consultationFeeEn,consultationFeeEs,bioEn,bioEs,videoConsultation,featured
,,,,,legal,Immigration Attorney,Balducci Law,,Paul Vincent Balducci,,1450 Greene St,Augusta,GA,30901,(706) 722-5100,(706) 722-5100,contact@balduccilaw.com,https://www.balduccilaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,28,,33,English,,Georgia State University,,Immigration,,Paid Consultation,,"Immigration attorney with over three decades of experience serving clients in Augusta, Georgia and surrounding areas.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Thomas Law,,Samuel E. Thomas,,"585 Research Drive,  Suite-A",Athens,GA,30605,(706) 546-0999,(706) 546-0999,contact@thomaslaw.com,https://www.thomaslaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,32,,11,English,,University of Alabama - Tuscaloosa,,Immigration; Divorce; Family; Juvenile,,Paid Consultation,,Experienced immigration and family law attorney providing dedicated representation to clients across Athens and surrounding areas.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Halow Law,,Alex Halow,,"975 Gaines School Road,  Building No. 4",Athens,GA,30605,(706) 850-7838,(706) 850-7838,contact@halowlaw.com,https://www.halowlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,41,,29,English,,Cornell University,,Immigration,,Paid Consultation,,Immigration lawyer with nearly three decades of experience representing clients in Athens and surrounding communities.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Seekie Law,,Nyonnohweah Seekie,,241 Third Street,Macon,GA,31201,(478) 200-5783,(478) 200-5783,contact@seekielaw.com,https://www.seekielaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,25,,5,English,,Mercer University Walter F. George School of Law,,Immigration; Criminal; DUI; Family,,Paid Consultation,,"Dedicated attorney handling immigration, criminal, DUI and family law matters for clients in Macon and surrounding areas.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Dorminey Law,,Blair Dorminey,,500 N. Milledge Ave,Athens,GA,30601,(706) 316-3630,(706) 316-3630,contact@dormineylaw.com,https://www.dormineylaw.com,https://source.unsplash.com/random/300x300/?lawyer,5,38,,41,English,,Yale Law School,,Immigration,,Paid Consultation,,Immigration attorney with more than four decades of experience representing clients in Athens and surrounding areas.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Tolbert Law,,Scott Reed Tolbert,,62 Washington St,Jefferson,GA,30549,(706) 367-5290,(706) 367-5290,contact@tolbertlaw.com,https://www.tolbertlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,31,,32,English,,John Marshall L.S. (Atlanta),,Immigration; Business; DUI,,Paid Consultation,,Experienced immigration and business attorney serving Jefferson and surrounding areas for over three decades.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Strother Law,,John Richard 'Jack' Strother III,,144 Lincoln St,Savannah,GA,31401,(912) 226-6731,(912) 226-6731,contact@strotherlaw.com,https://www.strotherlaw.com,https://source.unsplash.com/random/300x300/?lawyer,5,37,,29,English,,University System of Georgia - University of Georgia,,Immigration; Criminal; Divorce; Family,,Free Consultation,,"Immigration attorney with nearly three decades of experience representing clients in Savannah and surrounding areas in immigration, criminal, divorce, and family legal matters.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Isaacson Law,,Lewis Robert Isaacson,,109 E 48th St,Savannah,GA,31405,(912) 484-3366,(912) 484-3366,contact@isaacsonlaw.com,https://www.isaacsonlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,42,,43,English,,University of Georgia,,Immigration; Bankruptcy; Business; Divorce,,Paid Consultation,,Experienced immigration and business attorney with over four decades of representing clients in Savannah and surrounding communities.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Williford Law,,Michael Williford,,24 Drayton Street #1000,Savannah,GA,31401,(800) 242-2962,(800) 242-2962,contact@willifordlaw.com,https://www.willifordlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,29,,15,English,,Georgia State University College of Law,,Immigration; Appeals; Employment; International,,Paid Consultation,,"Immigration attorney handling appeals, employment, and international legal matters for clients in Savannah and surrounding areas.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Murray Law,,Carrie Murray,,22 W Bryan St,Savannah,GA,31401,(912) 238-1269,(912) 238-1269,contact@murraylaw.com,https://www.murraylaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,36,,20,English,,Mercer Univ-W.George L.S,,Immigration; Divorce; Family,,Paid Consultation,,Immigration and family law attorney with two decades of experience serving clients in Savannah and surrounding areas.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Jarrett Law,,Patrick Jarrett,,"138 Canal Street,  Suite 105",Pooler,GA,31322,(912) 401-8880,(912) 401-8880,contact@jarrettlaw.com,https://www.jarrettlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,33,,16,English,,Texas Wesleyan University School of Law,,Immigration; Personal Injury,,Paid Consultation,,Immigration and personal injury attorney representing clients in Pooler and surrounding communities.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Balbo Law,,Attilio J Balbo,,11258 Ford Ave #11,Richmond Hill,GA,31324,(912) 459-1776,(912) 459-1776,contact@balbolaw.com,https://www.balbolaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,29,,24,English,,Fordham University School of Law,,Immigration; Divorce; Personal Injury,,Paid Consultation,,Immigration and personal injury attorney with over two decades of experience representing clients in Richmond Hill and surrounding areas.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Gerhart Law,,Tamar Gerhart,,"1791 Gulick Ave,  Building 709",Fort Stewart,GA,31314,(912) 767-4054,(912) 767-4054,contact@gerhartlaw.com,https://www.gerhartlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.6,25,,16,English,,Texas Tech University School of Law,,Immigration,,Paid Consultation,,Immigration attorney serving military personnel and families at Fort Stewart and surrounding communities.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Na Lan Law,,Na Lan,,"1003 Bishop Street,  Suite 1600",Honolulu,HI,96813,(808) 526-3617,(808) 526-3617,contact@nalanlaw.com,https://www.nalanlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,32,,15,English; Chinese,,University of Hawai'i at Manoa William S. Richardson School of Law,,Immigration; Business; Real Estate,,Paid Consultation,,"Immigration attorney with expertise in business and real estate law, serving clients in Honolulu and surrounding areas for over 15 years.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Hirota Law,,Maile Marie Hirota,,"735 Bishop St,  Suite 402",Honolulu,HI,96813,(808) 587-9600,(808) 587-9600,contact@hirotalaw.com,https://www.hirotalaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,47,,30,English,,Indiana University - Indiana University-Bloomington,,Immigration,,Paid Consultation,,Experienced immigration attorney with three decades of dedicated service to clients in Honolulu and throughout Hawaii.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Abelmann Law,,Rick Abelmann,,677 Ala Moana Blvd #1009,Honolulu,HI,96813,(808) 589-1010,(808) 589-1010,contact@abelmannlaw.com,https://www.abelmannlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,29,,19,English; German,,Washington University School of Law,,Immigration; Arbitration & Mediation; Bankruptcy; International,,Paid Consultation,,"Immigration attorney specializing in international legal matters, arbitration, mediation, and bankruptcy for clients in Honolulu.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Hanusz Law,,Clare Hanusz,,1050 Queen Street #100,Honolulu,HI,96814,(808) 626-5020,(808) 626-5020,contact@hanuszlaw.com,https://www.hanuszlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,38,,25,English,,University of Hawai'i at Manoa William S. Richardson School of Law,,Immigration,,Paid Consultation,,Immigration attorney with a quarter century of experience serving clients in Honolulu and surrounding areas.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Singh Law,,Gary Singh,,700 Bishop Street Suite #2000,Honolulu,HI,96813,(808) 529-0626,(808) 529-0626,contact@singhlaw.com,https://www.singhlaw.com,https://source.unsplash.com/random/300x300/?lawyer,5,42,,30,English; Hindi; Punjabi,,University of Hawaii,,Immigration; Divorce,,Free Consultation,,Highly-rated immigration and divorce attorney with three decades of experience representing clients in Honolulu.,,TRUE,TRUE
,,,,,legal,Immigration Attorney,Kagimoto Law,,Elton Kagimoto,,"500 Ala Moana Blvd.,  Suite 4-420",Honolulu,HI,96813,(808) 531-7979,(808) 531-7979,contact@kagimotolaw.com,https://www.kagimotolaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,36,,45,English; Japanese,,University of Hawai'i at Manoa William S. Richardson School of Law,,Immigration,,Free Consultation,,Immigration attorney with over four decades of experience serving clients in Honolulu and surrounding areas.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Otsuka Law,,Junsuke Otsuka,,"1000 Bishop Street,  Suite 910",Honolulu,HI,96813,(808) 537-4030,(808) 537-4030,contact@otsukalaw.com,https://www.otsukalaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,34,,32,English; Japanese,,University of Kansas School of Law,,Immigration; Estate Planning; International; Trademarks,,Paid Consultation,,"Immigration attorney specializing in international legal matters, estate planning, and trademarks for clients in Honolulu.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Nohara Law,,Sherry Nohara,,"1888 Kalakaua Ave,  Ste C312",Honolulu,HI,96815,(808) 808-6642,(808) 808-6642,contact@noharalaw.com,https://www.noharalaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,31,,29,English; Japanese,,"University of California College of the Law, San Francisco",,Immigration,,Paid Consultation,,Immigration attorney with nearly three decades of experience serving clients in Honolulu's Waikiki area.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Herrán Law,,Paul Herrán,,"1088 Bishop Street,  Penthouse",Honolulu,HI,96813,(808) 383-8829,(808) 383-8829,contact@herranlaw.com,https://www.herranlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.6,28,,21,English; Spanish,,University of Hawaii,,Immigration; Environmental; Landlord Tenant; Personal Injury,,Paid Consultation,,"Immigration attorney with expertise in environmental law, landlord-tenant disputes, and personal injury cases for clients throughout Honolulu.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Tran Law,,Tony Tran,,1888 Kalakaua Ave Suite 312,Honolulu,HI,96815,(808) 395-5691,(808) 395-5691,contact@tranlawhi.com,https://www.tranlawhi.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,35,,18,English; Vietnamese,,University of Hawai'i at Manoa William S. Richardson School of Law,,Immigration; Family,,Paid Consultation,,Immigration and family law attorney with nearly two decades of experience serving clients in Honolulu.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Ma Law Group,,Alan W.C. Ma,,1600 Kapiolani Blvd,Honolulu,HI,96814,(808) 944-1188,(808) 944-1188,contact@malawgroup.com,https://www.malawgroup.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,45,,41,English; Chinese; Cantonese,,University of Hawaii,,Immigration; Business; Family,,Paid Consultation,,Immigration lawyer with more than four decades of experience in business and family law serving clients in Honolulu.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Diones Law,,Manuel Quinto Diones,,"1188 Bishop Street,  Suite 2205",Honolulu,HI,96813,(808) 277-0532,(808) 277-0532,contact@dioneslaw.com,https://www.dioneslaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.6,22,,15,English; Tagalog,,University of Hawaii,,Immigration,,Paid Consultation,,Immigration attorney with 15 years of experience serving Filipino clients and others throughout Honolulu.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,DiAmore-Siah Law,,Carmen DiAmore-Siah,,820 South Beretania St. Ste 200,Honolulu,HI,96813,(808) 531-2277,(808) 531-2277,contact@diamoresiahlaw.com,https://www.diamoresiahlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,39,,36,English; Italian,,University of Hawaii,,Immigration; Family,,Free Consultation,,Immigration and family law attorney with over three decades of experience serving clients throughout Honolulu.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Dong Law,,Huilin Dong,,"888 Mililani St.,  8th Fl.",Honolulu,HI,96813,(808) 528-5650,(808) 528-5650,contact@donglaw.com,https://www.donglaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,33,,28,English; Chinese; Mandarin,,University of Hawaii,,Immigration; Divorce; Family,,Paid Consultation,,Immigration lawyer specializing in divorce and family law for clients throughout Honolulu for almost three decades.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Ueoka Law,,Robert Ueoka,,"1000 Bishop Street,  Suite 503",Honolulu,HI,96813,(808) 537-3500,(808) 537-3500,contact@ueokalaw.com,https://www.ueokalaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,30,,29,English,,University of Hawaii,,Immigration; Business; Real Estate,,Paid Consultation,,"Immigration attorney with expertise in business and real estate law, serving clients throughout Honolulu for nearly three decades.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Wada Law,,James Wada,,1188 Bishop St,Honolulu,HI,96813,(808) 537-4811,(808) 537-4811,contact@wadalaw.com,https://www.wadalaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.9,42,,49,English,,University of Hawaii,,Immigration; Juvenile,,Paid Consultation,,Immigration attorney with nearly five decades of experience specializing in juvenile cases for clients throughout Honolulu.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Shin Law,,Seonhae Kellie Shin,,1750 Kalakaua Ave,Honolulu,HI,96826,(808) 953-2109,(808) 953-2109,contact@shinlaw.com,https://www.shinlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.6,28,,29,English; Korean,,University of Hawaii,,Immigration; Bankruptcy; Divorce; Family,,Paid Consultation,,"Immigration attorney specializing in bankruptcy, divorce, and family law for clients throughout Honolulu for nearly three decades.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Isaacson Law,,Lars Robert Isaacson,,1100 Alakea St # 20,Honolulu,HI,96813,(808) 497-3811,(808) 497-3811,contact@isaacsonlaw.com,https://www.isaacsonlaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,35,,34,English,,Lewis & Clark Law School,,Immigration; Appeals; DUI,,Free Consultation,,Immigration lawyer specializing in appeals and DUI cases for clients throughout Honolulu with more than three decades of experience.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Yoo Law,,Aaron S.H. Yoo,,1440 Kapiolani Blvd,Honolulu,HI,96814,(808) 973-0820,(808) 973-0820,contact@yoolaw.com,https://www.yoolaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,32,,37,English,,Loyola Law School,,Immigration; Business; International; Real Estate,,Paid Consultation,,"Immigration lawyer with expertise in business, international, and real estate law, serving clients throughout Honolulu for nearly four decades.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Shin Family Law,,Mary M.S. Shin,,1750 Kalakaua Ave,Honolulu,HI,96826,(808) 953-2109,(808) 953-2109,contact@shinfamilylaw.com,https://www.shinfamilylaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.8,37,,37,English; Korean,,Hastings College of Law,,Immigration; Bankruptcy; Divorce; Family,,Paid Consultation,,"Immigration attorney specializing in bankruptcy, divorce, and family law for clients throughout Honolulu for nearly four decades.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Yang Law,,Gordon Yang,,"94-229 Waipahu Depot Road,  Suite 205",Waipahu,HI,96797,(808) 628-9529,(808) 628-9529,contact@yanglaw.com,https://www.yanglaw.com,https://source.unsplash.com/random/300x300/?lawyer,4.7,29,,27,English; Chinese,,University of Hawai'i at Manoa William S. Richardson School of Law,,Immigration; Appeals,,Paid Consultation,,"Immigration attorney specializing in appeals cases, serving clients in Waipahu and surrounding areas for over two decades.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Law Office of Joshua Joseph Despain,,Joshua Joseph Despain,,10173 West Overland Road,Boise,ID,83709,(208) 391-2020,(208) 391-2020,contact@despainlaw.com,https://despainlaw.com,https://placehold.co/400x400?text=JD,4.8,32,,8,English; Spanish,,University of Iowa,,Immigration; Asylum; DACA; Family-Based Immigration,,Free Consultation,,"Attorney Joshua Despain specializes in immigration law and has helped numerous clients navigate the complex U.S. immigration system. With 8 years of experience, he provides personalized attention to each client's situation.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Moody Law,,Jordan C. Moody,,10173 West Overland Road,Boise,ID,83709,(208) 391-2020,(208) 391-2020,jmoody@moodylaw.com,https://moodylaw.com,https://placehold.co/400x400?text=JM,4.7,25,,5,English,,University of Iowa,,Immigration; Deportation Defense; Green Cards,,Free Consultation,,"Jordan Moody is dedicated to helping clients with their immigration needs. With a focus on deportation defense and green card applications, Jordan works tirelessly to help clients achieve their immigration goals.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Schaefer Immigration Law,,Kimberley Schaefer,,702 W Idaho Street #1100,Boise,ID,83702,(208) 810-4851,(208) 810-4851,kschaefer@schaeferlaw.com,https://schaeferlaw.com,https://placehold.co/400x400?text=KS,4.9,45,,17,English; German,,Georgetown University Law Center,,Immigration; Business Immigration; Employment Visas; Naturalization,,$150 ,,"With 17 years of experience in immigration law, Kimberley Schaefer provides expert guidance on various immigration matters, with a particular focus on business immigration and employment visas.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Varaksa Immigration Law,,Margarita Varaksa,,"800 W Main St,  Suite 1460",Boise,ID,83702,(208) 696-1778,(208) 696-1778,margarita@varaksalaw.com,https://varaksalaw.com,https://placehold.co/400x400?text=MV,4.6,18,,3,English; Russian; Ukrainian,,University of Idaho College of Law,,Immigration; Family-Based Immigration; Citizenship,,$125 ,,"Margarita Varaksa is a multilingual immigration attorney who specializes in family-based immigration and citizenship matters. Despite being newer to the practice, she brings a fresh and dedicated approach to her clients' cases.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Kenck Law Office,,Taylor Scott Kenck,,10173 West Overland Rd,Boise,ID,83709,(208) 391-2020,(208) 391-2020,tkenck@kencklaw.com,https://kencklaw.com,https://placehold.co/400x400?text=TK,4.5,22,,7,English; Spanish,,Brigham Young University and Brigham Young University-Idaho,,Immigration; Asylum; Removal Defense,,Free Consultation,,"Taylor Kenck helps clients with various immigration matters, with a special focus on asylum cases and removal defense. With 7 years of experience, Taylor is committed to providing compassionate and effective representation.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Camacho Mendoza Law,,Natalie Camacho Mendoza,,380 S 4th St,Boise City,ID,83702,(208) 342-2960,(208) 342-2960,natalie@camachomendozalaw.com,https://camachomendozalaw.com,https://placehold.co/400x400?text=NCM,4.9,78,,34,English; Spanish,,Washburn University School of Law,,Immigration; Arbitration & Mediation; Bankruptcy; Employment,,$200 ,,"With over three decades of legal experience, Natalie Camacho Mendoza provides comprehensive legal services including immigration, arbitration, bankruptcy, and employment law. Her extensive knowledge and experience make her a valuable resource for clients with complex legal needs.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Campbell Law Office,,Matthew Craig Campbell,,410 S Orchard St,Boise City,ID,83705,(208) 336-7728,(208) 336-7728,matthew@campbelllawoffice.com,https://campbelllawoffice.com,https://placehold.co/400x400?text=MCC,4.7,56,,28,English,,University of Idaho College of Law,,Immigration; Bankruptcy; Business; Criminal,,$175 ,,"Matthew Campbell offers legal services in multiple practice areas including immigration, bankruptcy, business law, and criminal defense. With 28 years of experience, he provides clients with comprehensive legal solutions tailored to their specific needs.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Timothy Jones Law Office,,Timothy Jones,,381 Shoup Ave. Ste. 200,Idaho Falls,ID,83402,(208) 206-1475,(208) 206-1475,contact@timothyjoneslaw.com,https://timothyjoneslaw.com,https://placehold.co/400x400?text=TJ,4.7,32,,14,English,,University of Cincinnati,,Immigration,,$150 ,,"Timothy Jones has been practicing immigration law for 14 years, helping clients navigate the complex immigration system with confidence and personalized attention.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Hansen Law Office,,Kyle G Hansen,,1470 Midway Ave.,Ammon,ID,83406,(208) 522-1212,(208) 522-1212,kyle@hansenlaw.com,https://hansenlaw.com,https://placehold.co/400x400?text=KH,4.5,18,,5,English,,University of Maryland - Baltimore,,Immigration; Criminal,,Free Consultation,,"Kyle G Hansen provides comprehensive immigration and criminal defense services to clients throughout Idaho, with a focus on effective and personalized representation.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Cuoio Law Office,,Nathan John Cuoio,,"109 N. Arthur,  Suite 500",Pocatello,ID,83204,(208) 232-2286,(208) 232-2286,nathan@cuoiolaw.com,https://cuoiolaw.com,https://placehold.co/400x400?text=NC,4.8,25,,11,English,,University of Idaho College of Law,,Immigration; Business; Estate Planning; Probate,,$125 ,,"Nathan John Cuoio offers comprehensive legal services in immigration, business, and estate planning with 11 years of dedicated experience helping clients achieve their legal goals.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Schaefer Immigration Law,,Kimberley Schaefer,,343 E 4th N #123,Rexburg,ID,83440,(208) 810-4858,(208) 810-4858,kschaefer@schaeferlaw.com,https://schaeferlaw.com,https://placehold.co/400x400?text=KS,4.9,45,,17,English; German,,Georgetown University Law Center,,Immigration; Business Immigration; Employment Visas; Naturalization,,$150 ,,"With 17 years of experience in immigration law, Kimberley Schaefer provides expert guidance on various immigration matters, with a particular focus on business immigration and employment visas.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Perez Immigration Law,,Brandy S Perez,,"5680 E Franklin Road,  Suite 230",Nampa,ID,83687,(208) 504-6079,(208) 504-6079,brandy@perezimmigrationlaw.com,https://perezimmigrationlaw.com,https://placehold.co/400x400?text=BP,4.6,19,,6,English; Spanish,,Concordia University School of Law,,Immigration,,Free Consultation,,"Brandy S Perez is dedicated to helping clients with their immigration needs. With 6 years of experience, she provides compassionate and effective representation for individuals and families.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,"The Helt Law Group, LLC",,Christopher Helt,,"10 South Riverside Plaza,  Suite 875",Chicago,IL,60606,(888) 739-6794,(888) 739-6794,info@heltlaw.com,https://heltlaw.com,https://placehold.co/400x400?text=CH,5,48,,31,English; Spanish,,Loyola University Chicago School of Law,,Immigration; Deportation Defense; Asylum; Immigration Appeals,,$200 ,,"Christopher Helt is a nationally recognized removal defense attorney, concentrating in providing legal counsel to immigrants appearing before the U.S. Immigration Court, federal district court, federal circuit courts, and more.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Metcalf Immigration Law,,Patrick Metcalf,,1655 N Arlington Heights Rd,Arlington Heights,IL,60004,(847) 882-1992,(847) 882-1992,patrick@metcalfimmigration.com,https://metcalfimmigration.com,https://placehold.co/400x400?text=PM,4.8,32,,12,English,,Loyola University Chicago School of Law,,Immigration; Family-Based Immigration; Employment Visas,,Free Consultation,,Patrick Metcalf has a wealth of experience and knowledge in all types of immigration matters. He takes pride in helping clients find the best possible results to achieve their dreams.,,TRUE,TRUE
,,,,,legal,Immigration Attorney,Elesh Immigration Law,,Drew Elesh,,53 W Jackson Blvd,Chicago,IL,60604,(773) 206-3321,(773) 206-3321,drew@eleshimmigration.com,https://eleshimmigration.com,https://placehold.co/400x400?text=DE,4.7,25,,8,English; Spanish,,Chicago-Kent College of Law,,Immigration; Family-Based Immigration; Citizenship; DACA,,Free Consultation,,Drew Elesh is determined to help you achieve the American dream you deserve. He's dedicated to providing value-driven legal guidance through all your immigration needs.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Panteva Law Group LLC,,Iskra Panteva,,"444 W Lake Street,  Suite 1700",Chicago,IL,60606,(312) 471-0014,(312) 471-0014,iskra@pantevalaw.com,https://pantevalaw.com,https://placehold.co/400x400?text=IP,4.9,37,,11,English; Bulgarian,,Loyola University Chicago School of Law,,Immigration; Employment Immigration; Individual Immigration,,$175 ,,Iskra Panteva is an experienced Chicago Immigration attorney dedicated to helping those in matters such as employment immigration and individual immigration.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Reinwald Immigration Law Firm,,Natavan Reinwald,,29 E Madison St,Chicago,IL,60602,(773) 516-4100,(773) 516-4100,natavan@reinwaldlaw.com,https://reinwaldlaw.com,https://placehold.co/400x400?text=NR,4.6,21,,7,English; Russian; Azerbaijani,,"Chicago-Kent College of Law, Illinois Institute of Technology",,Immigration; Business Immigration; Family Immigration,,$150 ,,"Natavan Reinwald is a dedicated Chicago immigration attorney with a strong focus on business and family immigration matters, helping clients navigate the complex immigration system.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Law Office of Kevin L Dixler,,Kevin L Dixler,,"542 S. Dearborn St.,  Suite 590",Chicago,IL,60605,(312) 588-0500,(312) 588-0500,info@dixlerlaw.com,https://dixlerlaw.com,https://placehold.co/400x400?text=KD,4.8,42,,31,English,,The John Marshall Law School,,Immigration; Deportation Defense; Immigration Appeals,,$195 ,,Kevin L Dixler is an experienced immigration attorney who has been helping clients navigate complex immigration issues for over 30 years.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Cipolla Law Group,,Gerald Cipolla,,"200 N LaSalle St,  Suite 1550",Chicago,IL,60601,(773) 687-0549,(773) 687-0549,info@cipollalaw.com,https://cipollalaw.com,https://placehold.co/400x400?text=GC,4.7,36,,25,English; Italian,,DePaul University and City University of Hong Kong,,Immigration; Business Immigration; Employment Visas; Family Immigration,,$180 ,,Gerald Cipolla has extensive experience in all areas of immigration law with a special focus on business immigration matters and corporate compliance.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Herman Legal Group,,Richard T. Herman,,"6127 S. University Avenue,  Suite 1008",Chicago,IL,60637,(216) 696-6170,(216) 696-6170,richard@hermanlegal.com,https://hermanlegal.com,https://placehold.co/400x400?text=RH,4.9,51,,31,English; Spanish; Russian,,Case Western Reserve University,,Immigration; Business Immigration; Investor Visas; Employment-based Immigration,,$200 ,,Richard T. Herman is a nationally recognized immigration attorney with over three decades of experience helping individuals and businesses with complex immigration matters.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Perkins Law Office,,Robert Aaron Perkins,,"2501 W. Lawrence Ave.,  Suite H",Chicago,IL,60625,(312) 461-1199,(312) 461-1199,robert@perkinsimmigration.com,https://perkinsimmigration.com,https://placehold.co/400x400?text=RP,5,47,,35,English; Spanish,,University of Illinois College of Law,,Immigration; Deportation Defense; Family Immigration; Asylum,,Free Consultation,,"Robert Aaron Perkins has over 35 years of experience handling complex immigration cases. His practice focuses on deportation defense, asylum, and family-based immigration.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Casas Law Office,,Carla M. Casas,,4660 N Elston Avenue,Chicago,IL,60630,(312) 971-7221,(312) 971-7221,carla@casaslawoffice.com,https://casaslawoffice.com,https://placehold.co/400x400?text=CC,4.7,33,,22,English; Spanish; Portuguese,,University of Florida,,Immigration; Family Immigration; Naturalization; VAWA,,$160 ,,"Carla M. Casas specializes in family-based immigration, naturalization, and VAWA cases. With over 20 years of experience, she provides compassionate and effective representation.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Nancy Vizer Law Office,,Nancy Vizer,,223 W Jackson Blvd #725,Chicago,IL,60606,(312) 957-1755,(312) 957-1755,info@vizerlawoffice.com,https://vizerlawoffice.com,https://placehold.co/400x400?text=NV,4.8,30,,20,English,,George Mason University School of Law,,Immigration,,$175 ,,"Nancy Vizer is an experienced immigration attorney based in Chicago, providing personalized immigration services to clients throughout Illinois.",,FALSE,FALSE
